Station Num,Latitude,Longitude
0+00,35.4009318, -78.5572274 
1+00,35.40120549, -78.55724329 
2+00,35.40148025, -78.55724401 
3+00,35.4017159, -78.55727662 
4+00,35.40199061, -78.55727072 
5+00,35.40230444, -78.55723374 
6+00,35.40257935, -78.55723641 
7+00,35.40281497, -78.55726828 
8+00,35.40312858, -78.55723275 
9+00,35.40340354, -78.55723373 
10+00,35.40363387, -78.5572714 
11+00,35.40390877, -78.55726971 
12+00,35.40418337, -78.55726532 
13+00,35.40445818, -78.55726376 
14+00,35.40473293, -78.55726059 
15+00,35.405008, -78.55725573 
16+00,35.40528258, -78.55724383 
17+00,35.40560614, -78.55721237 
18+00,35.40588088, -78.55721567 
19+00,35.40610646, -78.55724535 
20+00,35.4064303, -78.55721046 
21+00,35.40665608, -78.55724323 
22+00,35.40693079, -78.55723626 
23+00,35.40725468, -78.55720809 
24+00,35.40752908, -78.55720639 
25+00,35.40780398, -78.55720687 
26+00,35.40807905, -78.55721715 
27+00,35.40835347, -78.55722737 
28+00,35.4086281, -78.55725252 
29+00,35.40890208, -78.5572809 
30+00,35.40917594, -78.55731283 
31+00,35.40944879, -78.55735296 
32+00,35.40972156, -78.55739393 
33+00,35.40999357, -78.55744773 
34+00,35.41026291, -78.55751191 
35+00,35.41053372, -78.55756655 
36+00,35.41080492, -78.55762196 
37+00,35.41107339, -78.55769813 
38+00,35.41134022, -78.55777763 
39+00,35.41160488, -78.55787097 
40+00,35.41186839, -78.55796468 
41+00,35.41213247, -78.55805776 
42+00,35.4123952, -78.55815765 
43+00,35.41265541, -78.55826639 
44+00,35.41291465, -78.55837923 
45+00,35.41317067, -78.55850148 
46+00,35.41342583, -78.55862593 
47+00,35.41368115, -78.55874983 
48+00,35.41393373, -78.55888399 
49+00,35.41418325, -78.5590243 
50+00,35.414433, -78.55916418 
51+00,35.41468404, -78.55929966 
52+00,35.41493624, -78.55943335 
53+00,35.4151868, -78.55957249 
54+00,35.41543314, -78.55972119 
55+00,35.4156822, -78.55986137 
56+00,35.41593428, -78.55999423 
57+00,35.41618656, -78.5601287 
58+00,35.41643477, -78.56027175 
59+00,35.41668533, -78.56040945 
60+00,35.41693583, -78.56054735 
61+00,35.41718474, -78.56069091 
62+00,35.41743053, -78.56084089 
63+00,35.41768084, -78.56097775 
64+00,35.41793012, -78.5611198 
65+00,35.41817793, -78.56126477 
66+00,35.41842745, -78.56140463 
67+00,35.41868077, -78.56153259 
68+00,35.41893525, -78.56165923 
69+00,35.41918638, -78.56179727 
70+00,35.41943658, -78.56193455 
71+00,35.41968879, -78.56206772 
72+00,35.41993726, -78.56221246 
73+00,35.42018512, -78.562357 
74+00,35.42043488, -78.56249516 
75+00,35.42068386, -78.56263922 
76+00,35.42092952, -78.56278955 
77+00,35.42117496, -78.56294049 
78+00,35.42142765, -78.56306866 
79+00,35.42168304, -78.56319242 
80+00,35.42194385, -78.56329165 
81+00,35.42220919, -78.56337858 
82+00,35.4224761, -78.56345602 
83+00,35.42274492, -78.5635158 
84+00,35.42301676, -78.56355298 
85+00,35.42329136, -78.56357745 
86+00,35.4235647, -78.56359394 
87+00,35.42383942, -78.5636159 
88+00,35.42411326, -78.56362735 
89+00,35.42438799, -78.56363279 
90+00,35.42466265, -78.56363588 
91+00,35.42493742, -78.56363974 
92+00,35.42521214, -78.56364344 
93+00,35.42548698, -78.56365062 
94+00,35.42576168, -78.56365834 
95+00,35.42603626, -78.5636619 
96+00,35.42631091, -78.56366268 
97+00,35.4265858, -78.56366667 
98+00,35.42686046, -78.56367114 
99+00,35.42713521, -78.56367463 
100+00,35.42741487, -78.56367753 
101+00,35.4276898, -78.56368874 
102+00,35.42796432, -78.56369848 
103+00,35.42823897, -78.563706 
104+00,35.42851365, -78.56371288 
105+00,35.42878829, -78.56371806 
106+00,35.42906292, -78.56372175 
107+00,35.42933786, -78.56372659 
108+00,35.42961254, -78.56373397 
109+00,35.42988727, -78.56374254 
110+00,35.43016193, -78.5637512 
111+00,35.43043666, -78.56376577 
112+00,35.43071063, -78.56377622 
113+00,35.43098539, -78.56377582 
114+00,35.43126044, -78.56378246 
115+00,35.43153506, -78.56378941 
116+00,35.43180982, -78.56379657 
117+00,35.4320845, -78.56380479 
118+00,35.43235918, -78.56381302 
119+00,35.43263374, -78.5638195 
120+00,35.43290846, -78.56382461 
121+00,35.43318321, -78.56383028 
122+00,35.43339875, -78.56386636 
123+00,35.43373266, -78.56383264 
124+00,35.43400738, -78.56383835 
125+00,35.43428231, -78.56384835 
126+00,35.43455662, -78.56385944 
127+00,35.43483134, -78.56386562 
128+00,35.43510604, -78.56387207 
129+00,35.43538086, -78.56388711 
130+00,35.43565517, -78.56389436 
131+00,35.43592984, -78.56389913 
132+00,35.43620473, -78.56390662 
133+00,35.43647925, -78.56391515 
134+00,35.43675397, -78.56392123 
135+00,35.43702876, -78.56392922 
136+00,35.43730342, -78.56393819 
137+00,35.43751912, -78.56396755 
138+00,35.43779368, -78.56395611 
139+00,35.43806883, -78.56394254 
140+00,35.43834299, -78.56391482 
141+00,35.43861589, -78.56388018 
142+00,35.43888982, -78.5638539 
143+00,35.43916523, -78.56382959 
144+00,35.43943593, -78.56377224 
145+00,35.43970658, -78.56371398 
146+00,35.43997749, -78.56365958 
147+00,35.44024731, -78.56359209 
148+00,35.44051773, -78.56353128 
149+00,35.4407847, -78.563454 
150+00,35.44105417, -78.56338141 
151+00,35.44131643, -78.56328132 
152+00,35.44157953, -78.56318717 
153+00,35.4418433, -78.5630904 
154+00,35.44210442, -78.56298613 
155+00,35.4423662, -78.56287862 
156+00,35.44261598, -78.56273871 
157+00,35.4428714, -78.56261862 
158+00,35.44312847, -78.56249979 
159+00,35.44338541, -78.56237971 
160+00,35.44363981, -78.56225294 
161+00,35.44388597, -78.56210072 
162+00,35.44412929, -78.56194731 
163+00,35.44438034, -78.56181078 
164+00,35.44463108, -78.56167352 
165+00,35.44487979, -78.56152941 
166+00,35.44512557, -78.56137978 
167+00,35.44537299, -78.56123383 
168+00,35.44562029, -78.56108744 
169+00,35.44586603, -78.56093593 
170+00,35.44610869, -78.56078016 
171+00,35.44635612, -78.56063334 
172+00,35.44660115, -78.56048149 
173+00,35.44684713, -78.56033232 
174+00,35.44709398, -78.56018375 
175+00,35.44734071, -78.5600383 
176+00,35.44758864, -78.55989264 
177+00,35.44783508, -78.55974474 
178+00,35.44808294, -78.55959982 
179+00,35.44833571, -78.55946834 
180+00,35.44858217, -78.5593195 
181+00,35.44882703, -78.55916717 
182+00,35.44907242, -78.55901645 
183+00,35.44931848, -78.55886748 
184+00,35.44956586, -78.55872158 
185+00,35.44981402, -78.55857705 
186+00,35.45006062, -78.55842898 
187+00,35.45030487, -78.55827437 
188+00,35.45054887, -78.55812019 
189+00,35.45078991, -78.55796015 
190+00,35.45103737, -78.55781418 
191+00,35.45127865, -78.55765159 
192+00,35.45151892, -78.55749216 
193+00,35.45177046, -78.55735517 
194+00,35.45201646, -78.55720702 
195+00,35.45226741, -78.55706757 
196+00,35.45250848, -78.55690293 
197+00,35.45275005, -78.5567544 
198+00,35.45300717, -78.55663326 
199+00,35.45325369, -78.55648497 
200+00,35.4534999, -78.55633577 
201+00,35.45374711, -78.5561868 
202+00,35.45398696, -78.55602572 
203+00,35.4542335, -78.55587706 
204+00,35.45447817, -78.55572505 
205+00,35.45472613, -78.55558044 
206+00,35.45497362, -78.55543425 
207+00,35.45522064, -78.5552873 
208+00,35.45546751, -78.5551388 
209+00,35.45571073, -78.5549835 
210+00,35.45595692, -78.55483483 
211+00,35.4562046, -78.55468948 
212+00,35.45644851, -78.55453354 
213+00,35.45669179, -78.5543776 
214+00,35.45693875, -78.55423235 
215+00,35.45718741, -78.5540893 
216+00,35.45743589, -78.55394549 
217+00,35.45768282, -78.55379829 
218+00,35.45792884, -78.55364817 
219+00,35.45817472, -78.5534998 
220+00,35.45842295, -78.55335447 
221+00,35.45866745, -78.55320184 
222+00,35.45891404, -78.5530538 
223+00,35.45916087, -78.55290643 
224+00,35.45940794, -78.55275939 
225+00,35.45965467, -78.55261161 
226+00,35.45990277, -78.55246813 
227+00,35.46014398, -78.55230466 
228+00,35.46038697, -78.55215499 
229+00,35.4606455, -78.55204482 
230+00,35.46090501, -78.55193344 
231+00,35.46116659, -78.55183357 
232+00,35.46142897, -78.55173386 
233+00,35.46169706, -78.55166061 
234+00,35.46195944, -78.55156093 
235+00,35.462225, -78.55148793 
236+00,35.46249589, -78.551445 
237+00,35.46277007, -78.55142387 
238+00,35.46310319, -78.55139473 
239+00,35.46337757, -78.5513969 
240+00,35.46365252, -78.55139774 
241+00,35.46392812, -78.55140918 
242+00,35.46420147, -78.55142973 
243+00,35.4644769, -78.55144903 
244+00,35.46474889, -78.5514964 
245+00,35.46502063, -78.55154759 
246+00,35.46529145, -78.55160668 
247+00,35.46548786, -78.55175767 
248+00,35.46561691, -78.55191467 
249+00,35.46588537, -78.5519862 
250+00,35.46615149, -78.55207437 
251+00,35.46641312, -78.55217956 
252+00,35.4666701, -78.55229841 
253+00,35.46692529, -78.55242466 
254+00,35.46717755, -78.55255855 
255+00,35.46742757, -78.55269779 
256+00,35.46767188, -78.55285369 
257+00,35.46791296, -78.55301341 
258+00,35.46815865, -78.55316373 
259+00,35.46839817, -78.55333031 
260+00,35.468635, -78.55350056 
261+00,35.46887366, -78.55366641 
262+00,35.46911284, -78.55383168 
263+00,35.46934899, -78.55400419 
264+00,35.46958939, -78.55416328 
265+00,35.46983361, -78.55431912 
266+00,35.47007173, -78.55448672 
267+00,35.47030941, -78.55465529 
268+00,35.47054727, -78.55482206 
269+00,35.47078999, -78.55497946 
270+00,35.47102966, -78.55514467 
271+00,35.47126878, -78.55530975 
272+00,35.47150878, -78.55547328 
273+00,35.47175087, -78.55563139 
274+00,35.47199348, -78.555789 
275+00,35.47223465, -78.55595058 
276+00,35.47247333, -78.55611728 
277+00,35.4727075, -78.55629448 
278+00,35.4729416, -78.5564691 
279+00,35.47317709, -78.55664267 
280+00,35.47341046, -78.55681995 
281+00,35.47364254, -78.55699999 
282+00,35.47387463, -78.55717973 
283+00,35.47410676, -78.55735943 
284+00,35.47433549, -78.55754625 
285+00,35.47456476, -78.55773101 
286+00,35.47479371, -78.55791719 
287+00,35.47502028, -78.55810761 
288+00,35.47524036, -78.55831123 
289+00,35.47544234, -78.55853931 
290+00,35.47564467, -78.55876594 
291+00,35.47587684, -78.55893239 
292+00,35.47610422, -78.55912617 
293+00,35.47632393, -78.55932782 
294+00,35.47654547, -78.55952553 
295+00,35.47676565, -78.55972846 
296+00,35.47697258, -78.55995024 
297+00,35.47716915, -78.56018658 
298+00,35.47738387, -78.56039189 
299+00,35.47759584, -78.56060441 
300+00,35.47781687, -78.56080394 
301+00,35.47803057, -78.56101628 
302+00,35.47823974, -78.56123493 
303+00,35.47844677, -78.56145574 
304+00,35.47866286, -78.56166172 
305+00,35.47887665, -78.56187319 
306+00,35.47908586, -78.56209171 
307+00,35.47929652, -78.56230636 
308+00,35.4795102, -78.56251793 
309+00,35.47972116, -78.56273312 
310+00,35.47993477, -78.56294389 
311+00,35.48014639, -78.56315914 
312+00,35.48035874, -78.56337049 
313+00,35.48057365, -78.56358119 
314+00,35.48078133, -78.5638005 
315+00,35.48099114, -78.56401798 
316+00,35.48120114, -78.56423251 
317+00,35.48141443, -78.56444537 
318+00,35.48162348, -78.56466367 
319+00,35.48183446, -78.56487786 
320+00,35.48204782, -78.56508962 
321+00,35.48226072, -78.56530195 
322+00,35.48247545, -78.56551105 
323+00,35.48268584, -78.5657283 
324+00,35.48289196, -78.56595052 
325+00,35.48309745, -78.56617351 
326+00,35.4833181, -78.5663715 
327+00,35.48353474, -78.56657881 
328+00,35.48375291, -78.56678232 
329+00,35.4839677, -78.56699311 
330+00,35.48417579, -78.5672127 
331+00,35.48439791, -78.5674083 
332+00,35.48461895, -78.56760797 
333+00,35.48484342, -78.56779966 
334+00,35.48507425, -78.56798158 
335+00,35.48530594, -78.56816215 
336+00,35.48548272, -78.5680691 
337+00,35.4857108, -78.56825634 
338+00,35.48593891, -78.56844362 
339+00,35.48616704, -78.56863083 
340+00,35.48639515, -78.56881804 
341+00,35.48662146, -78.56900893 
342+00,35.48684735, -78.56920066 
343+00,35.48707106, -78.56939508 
344+00,35.48729764, -78.5695851 
345+00,35.48752921, -78.56976467 
346+00,35.48775473, -78.56995791 
347+00,35.48798084, -78.57014847 
348+00,35.48820725, -78.57033899 
349+00,35.48843304, -78.57053036 
350+00,35.48866119, -78.57071701 
351+00,35.48888949, -78.57090447 
352+00,35.48911508, -78.57109624 
353+00,35.48934376, -78.57128178 
354+00,35.48957293, -78.57146709 
355+00,35.48980529, -78.57164576 
356+00,35.49003361, -78.57183376 
357+00,35.49025926, -78.5720254 
358+00,35.49048504, -78.57221685 
359+00,35.49071314, -78.57240361 
360+00,35.49094162, -78.57259013 
361+00,35.491173, -78.57277046 
362+00,35.49140781, -78.57294419 
363+00,35.49165156, -78.57309651 
364+00,35.4919067, -78.57320747 
365+00,35.49216405, -78.57332965 
366+00,35.49242238, -78.5734396 
367+00,35.49268643, -78.57352714 
368+00,35.49295477, -78.5736029 
369+00,35.49322079, -78.57368139 
370+00,35.49348996, -78.57374966 
371+00,35.49375845, -78.57382145 
372+00,35.49402743, -78.57388838 
373+00,35.49429469, -78.57396905 
374+00,35.49456189, -78.57404737 
375+00,35.49482962, -78.57412119 
376+00,35.49509801, -78.57419309 
377+00,35.49536556, -78.57427175 
378+00,35.49563168, -78.5743536 
379+00,35.49589955, -78.57442837 
380+00,35.49616739, -78.57450313 
381+00,35.49643693, -78.57456723 
382+00,35.49670556, -78.57463775 
383+00,35.49697605, -78.57469194 
384+00,35.49724436, -78.5747714 
385+00,35.49750933, -78.57485774 
386+00,35.4977773, -78.57492783 
387+00,35.49804628, -78.57499691 
388+00,35.49831388, -78.57507467 
389+00,35.49858138, -78.57515138 
390+00,35.49884962, -78.57522279 
391+00,35.49911836, -78.575292 
392+00,35.49938824, -78.57535147 
393+00,35.49965913, -78.57540922 
394+00,35.49992868, -78.57547689 
395+00,35.50019701, -78.57554904 
396+00,35.50046478, -78.57562569 
397+00,35.50073106, -78.57571024 
398+00,35.50099843, -78.57578293 
399+00,35.50126704, -78.57585598 
400+00,35.50153397, -78.57593566 
401+00,35.50180173, -78.57600969 
402+00,35.50206965, -78.5760842 
403+00,35.50233859, -78.57614848 
404+00,35.50260884, -78.57621161 
405+00,35.50287666, -78.5762886 
406+00,35.50314525, -78.57635679 
407+00,35.50341445, -78.57642567 
408+00,35.50368259, -78.57649994 
409+00,35.50394987, -78.57657734 
410+00,35.50421736, -78.57665235 
411+00,35.50448625, -78.57672202 
412+00,35.50475477, -78.57679356 
413+00,35.50502305, -78.57686642 
414+00,35.50529097, -78.57694093 
415+00,35.50555899, -78.57701695 
416+00,35.50582502, -78.57710088 
417+00,35.50609288, -78.57717334 
418+00,35.50636073, -78.57724835 
419+00,35.50662937, -78.57731442 
420+00,35.50690002, -78.57737518 
421+00,35.5071693, -78.57743826 
422+00,35.50744017, -78.5774977 
423+00,35.50770748, -78.57757847 
424+00,35.50797202, -78.57766492 
425+00,35.50824032, -78.57773893 
426+00,35.5085083, -78.5778123 
427+00,35.50877609, -78.57788944 
428+00,35.5090424, -78.57797223 
429+00,35.5093104, -78.57804469 
430+00,35.509578, -78.57812072 
431+00,35.50984597, -78.57819356 
432+00,35.5101147, -78.5782634 
433+00,35.51038344, -78.57833361 
434+00,35.51065142, -78.57840927 
435+00,35.51091957, -78.57847724 
436+00,35.51118958, -78.57852775 
437+00,35.51146447, -78.57855042 
438+00,35.51173252, -78.57863169 
439+00,35.51199744, -78.57872555 
440+00,35.51226224, -78.57880476 
441+00,35.51252998, -78.57888025 
442+00,35.51279752, -78.57895696 
443+00,35.5130647, -78.57903824 
444+00,35.51332997, -78.57911563 
445+00,35.5136016, -78.5791647 
446+00,35.51387476, -78.57918149 
447+00,35.51414847, -78.57919658 
448+00,35.51442323, -78.57919851 
449+00,35.51469815, -78.57920777 
450+00,35.51491378, -78.57923213 
451+00,35.51518929, -78.57922122 
452+00,35.51546276, -78.57919053 
453+00,35.51579529, -78.5791511 
454+00,35.51606956, -78.57917129 
455+00,35.51628441, -78.57921433 
456+00,35.51661819, -78.57917806 
457+00,35.5168928, -78.5791851 